scenario,p_A,p_B,delta,ci_low,ci_high,p_A_pct,p_B_pct,delta_pp,ci_low_pp,ci_high_pp
Sleep <5→5-7,0.2512000005759948,0.24974721898000732,-0.001452781595987468,-0.0014928050010601657,-0.0014118379582382357,25.12000005759948,24.97472189800073,-0.1452781595987468,-0.14928050010601657,-0.14118379582382357
SM >5→3-5,0.2512000005759948,0.2520073788314909,0.000807378255496094,0.0007840745994668232,0.000832033800121404,25.12000005759948,25.20073788314909,0.0807378255496094,0.07840745994668233,0.0832033800121404
Stress High→Med,0.2512000005759948,0.24869864650475584,-0.0025013540712389426,-0.0025524851406670953,-0.0024508282580756684,25.12000005759948,24.869864650475584,-0.25013540712389426,-0.2552485140667095,-0.24508282580756685
